table,informant,module,variable,layer,status,disorder,label,value_labels,admin_codes,derivative
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_012__v01,item,,,Was there ever a time your child often interrupted others while they were talking?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_013,item,,,Was there ever a time your child often had trouble waiting for their turn or waiting for other things?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_014,item,,,"Was there ever a time your child often talked when your child weren't supposed to, or have people complained that your child talked too much?","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_014__v01,item,,,"Was there ever a time your child often talked when your child weren't supposed to, or have people complained that your child talked too much?","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_015__01___1,item,,,"Was there ever a time your child often talked when your child weren't supposed to, or have people complained that your child talked too much [Multi-select]: With friends","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_015__01___2,item,,,"Was there ever a time your child often talked when your child weren't supposed to, or have people complained that your child talked too much [Multi-select]: With family","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_015__01___3,item,,,"Was there ever a time your child often talked when your child weren't supposed to, or have people complained that your child talked too much [Multi-select]: At school","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_015__01___4,item,,,"Was there ever a time your child often talked when your child weren't supposed to, or have people complained that your child talked too much [Multi-select]: At work","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_015__01___5,item,,,"Was there ever a time your child often talked when your child weren't supposed to, or have people complained that your child talked too much [Multi-select]: With any other activities","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_016,item,,,ADHD problems: How old was your child when these problems first began?,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__past_017,item,,,ADHD symptoms: Was there ever a 6 month period without these symptoms for your child?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_001,item,,,"In the past two weeks, how many days has your child made a careless mistake?","{""0"": ""Not at all"", ""1"": ""Rarely"", ""2"": ""Several days"", ""3"": ""More than half the days"", ""4"": ""Nearly every day""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_001__v01,item,,,"In the past two weeks, how many days has your child made a careless mistake?","{""0"": ""Not at all"", ""1"": ""Rarely"", ""2"": ""Several days"", ""3"": ""More than half the days"", ""4"": ""Nearly every day""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_002,item,,,"In the past two weeks, how often has your child forgotten or tuned out what you or their teachers said to him or her?","{""0"": ""Not at all"", ""1"": ""Rarely"", ""2"": ""Several days"", ""3"": ""More than half the days"", ""4"": ""Nearly every day""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_003,item,,,"In the past two weeks, how often has your child not followed instructions that a parent or teacher said to him or her, or instructions on an assignment or test?","{""0"": ""Not at all"", ""1"": ""Rarely"", ""2"": ""Several days"", ""3"": ""More than half the days"", ""4"": ""Nearly every day""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_004,item,,,"In the past two weeks, how often has your child had trouble organizing his or her homework or other tasks?","{""0"": ""Not at all"", ""1"": ""Rarely"", ""2"": ""Several days"", ""3"": ""More than half the days"", ""4"": ""Nearly every day""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_005,item,,,"In the past two weeks, how often has your child put off or avoided doing things that were hard for him or her because they required a lot of attention?","{""0"": ""Not at all"", ""1"": ""Rarely"", ""2"": ""Several days"", ""3"": ""More than half the days"", ""4"": ""Nearly every day""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_006,item,,,"In the past two weeks, how often has your child lost his or her homework, pencils, jacket, cell phone, or anything else big or small?","{""0"": ""Not at all"", ""1"": ""Rarely"", ""2"": ""Several days"", ""3"": ""More than half the days"", ""4"": ""Nearly every day""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_007,item,,,"In the past two weeks, how often has your child forgotten something somewhere or forgotten to do something he or she was supposed to do?","{""0"": ""Not at all"", ""1"": ""Rarely"", ""2"": ""Several days"", ""3"": ""More than half the days"", ""4"": ""Nearly every day""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_008,item,,,"In the past two weeks, how often has your child felt fidgety, like it was hard to sit without bouncing his or her leg or getting up and moving around?","{""0"": ""Not at all"", ""1"": ""Rarely"", ""2"": ""Several days"", ""3"": ""More than half the days"", ""4"": ""Nearly every day""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_009,item,,,"In the past two weeks, how often has your child run or climbed on things when he or she was not supposed to?","{""0"": ""Not at all"", ""1"": ""Rarely"", ""2"": ""Several days"", ""3"": ""More than half the days"", ""4"": ""Nearly every day""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_010,item,,,"In the past two weeks, how often has your child been on the go, moving from one place to another?","{""0"": ""Not at all"", ""1"": ""Rarely"", ""2"": ""Several days"", ""3"": ""More than half the days"", ""4"": ""Nearly every day""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_011,item,,,"In the past two weeks, how often has your child had trouble being quiet when he or she was supposed to be quiet?","{""0"": ""Not at all"", ""1"": ""Rarely"", ""2"": ""Several days"", ""3"": ""More than half the days"", ""4"": ""Nearly every day""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_012,item,,,"In the past two weeks, how often has your child blurt out answers in school without being called on, or blurt out answers when someone wasn't talking to him or her?","{""0"": ""Not at all"", ""1"": ""Rarely"", ""2"": ""Several days"", ""3"": ""More than half the days"", ""4"": ""Nearly every day""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_013,item,,,"In the past two weeks, how often has your child had trouble waiting for his or her turn or waiting for other things?","{""0"": ""Not at all"", ""1"": ""Rarely"", ""2"": ""Several days"", ""3"": ""More than half the days"", ""4"": ""Nearly every day""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_014,item,,,"In the past two weeks, how often has your child interrupted someone when they were talking?","{""0"": ""Not at all"", ""1"": ""Rarely"", ""2"": ""Several days"", ""3"": ""More than half the days"", ""4"": ""Nearly every day""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_015,item,,,"In the past two weeks, how often has your child talked when he or she wasn't supposed to, or had people complain that he or she talked too much?","{""0"": ""Not at all"", ""1"": ""Rarely"", ""2"": ""Several days"", ""3"": ""More than half the days"", ""4"": ""Nearly every day""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_016___1,item,,,ADHD problems: Have the problems we have just been talking about caused difficulties for your child in any of the following areas [Multi-select]: With friends,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_016___2,item,,,ADHD problems: Have the problems we have just been talking about caused difficulties for your child in any of the following areas [Multi-select]: With family,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_016___3,item,,,ADHD problems: Have the problems we have just been talking about caused difficulties for your child in any of the following areas [Multi-select]: At school,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_016___4,item,,,ADHD problems: Have the problems we have just been talking about caused difficulties for your child in any of the following areas [Multi-select]: At work,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__pres_016___5,item,,,ADHD problems: Have the problems we have just been talking about caused difficulties for your child in any of the following areas [Multi-select]: With any other activities,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_001,item,,,Was there ever a time that your child had a lot of trouble keeping focused and paying attention?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_001__01,item,,,Was there ever another time that your child had a lot of trouble keeping focused and paying attention?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_001__02,item,,,Trouble keeping focused and paying attention: Was it a problem for more than one school year?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_002,item,,,Was there ever a time that your child was often easily distracted?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_002__01,item,,,Was there ever another time that your child was often easily distracted?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_002__02,item,,,Often easily distracted: Was it a problem for more than one school year?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_003,item,,,Was there ever a time that your child often had trouble staying seated?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_003__01,item,,,Was there ever another time that your child often had trouble staying seated?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_003__02,item,,,Trouble staying seated: Was it a problem for more than one school year?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_004,item,,,Was there ever a time that your child was impulsive and often acted before he or she thought?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_004__01,item,,,Was there ever another time that your child was impulsive and often acted before he or she thought?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_004__02,item,,,Impulsive and often acted before he or she thought: Was it a problem for more than one school year?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005a__mo,item,,,You said that in the past your child had a lot of trouble keeping focused and paying attention. When was that - Month,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005a__yr,item,,,You said that in the past your child had a lot of trouble keeping focused and paying attention. When was that - Year,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005b__mo,item,,,You said that in the past your child was often easily distracted. When was that - Month,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005b__yr,item,,,You said that in the past your child was often easily distracted. When was that - Year,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005c__mo,item,,,You said that in the past your child often had trouble staying seated. When was that - Month,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005c__yr,item,,,You said that in the past your child often had trouble staying seated. When was that - Year,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005d__mo,item,,,You said that in the past your child was impulsive and often acted before he or she thought. When was that - Month,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005d__yr,item,,,You said that in the past your child was impulsive and often acted before he or she thought. When was that - Year,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005e__mo,item,,,You said that in the past your child had a lot of trouble keeping focused and paying attention; and was often easily distracted. When was that - Month,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005e__yr,item,,,You said that in the past your child had a lot of trouble keeping focused and paying attention; and was often easily distracted. When was that - Year,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005f__mo,item,,,You said that in the past your child had a lot of trouble keeping focused and paying attention; and often had trouble staying seated. When was that - Month,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005f__yr,item,,,You said that in the past your child had a lot of trouble keeping focused and paying attention; and often had trouble staying seated. When was that - Year,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005g__mo,item,,,You said that in the past your child had a lot of trouble keeping focused and paying attention; was impulsive and often acted before he or she thought. When was that - Month,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005g__yr,item,,,You said that in the past your child had a lot of trouble keeping focused and paying attention; was impulsive and often acted before he or she thought. When was that - Year,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005h__mo,item,,,You said that in the past your child was often easily distracted; and often had trouble staying seated. When was that - Month,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005h__yr,item,,,You said that in the past your child was often easily distracted; and often had trouble staying seated. When was that - Year,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005i__mo,item,,,You said that in the past your child was often easily distracted; was impulsive and often acted before he or she thought. When was that - Month,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005i__yr,item,,,You said that in the past your child was often easily distracted; was impulsive and often acted before he or she thought. When was that - Year,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005j__mo,item,,,You said that in the past your child often had trouble staying seated; was impulsive and often acted before he or she thought. When was that - Month,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005j__yr,item,,,You said that in the past your child often had trouble staying seated; was impulsive and often acted before he or she thought. When was that - Year,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005k__mo,item,,,You said that in the past your child had a lot of trouble keeping focused and paying attention; was often easily distracted; and often had trouble staying seated. When was that - Month,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005k__yr,item,,,You said that in the past your child had a lot of trouble keeping focused and paying attention; was often easily distracted; and often had trouble staying seated. When was that - Year,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005l__mo,item,,,You said that in the past your child had a lot of trouble keeping focused and paying attention; was often easily distracted; was impulsive and often acted before he or she thought. When was that - Month,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005l__yr,item,,,You said that in the past your child had a lot of trouble keeping focused and paying attention; was often easily distracted; was impulsive and often acted before he or she thought. When was that - Year,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005m__mo,item,,,You said that in the past your child had a lot of trouble keeping focused and paying attention; often had trouble staying seated; was impulsive and often acted before he or she thought. When was that - Month,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005m__yr,item,,,You said that in the past your child had a lot of trouble keeping focused and paying attention; often had trouble staying seated; was impulsive and often acted before he or she thought. When was that - Year,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005n__mo,item,,,You said that in the past your child was often easily distracted; often had trouble staying seated; was impulsive and often acted before he or she thought. When was that - Month,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005n__yr,item,,,You said that in the past your child was often easily distracted; often had trouble staying seated; was impulsive and often acted before he or she thought. When was that - Year,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005o__mo,item,,,You said that in the past your child had a lot of trouble keeping focused and paying attention; was often easily distracted; often had trouble staying seated; was impulsive and often acted before he or she thought. When was that - Month,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__past_005o__yr,item,,,You said that in the past your child had a lot of trouble keeping focused and paying attention; was often easily distracted; often had trouble staying seated; was impulsive and often acted before he or she thought. When was that - Year,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_001,item,,,"In the past two weeks, how often has your child had trouble paying attention and keeping focused when he or she is working on their homework or other things that require concentration?","{""0"": ""Not at all"", ""1"": ""Rarely"", ""2"": ""Several days"", ""3"": ""More than half the days"", ""4"": ""Nearly every day""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_001__01,item,,,Has your child had trouble paying attention and staying focused since the time he or she was in elementary school or earlier?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_002,item,,,"In the past two weeks, how often have little distractions, like someone talking or the telephone ringing, made it hard for your child to keep their mind on what he or she was working on?","{""0"": ""Not at all"", ""1"": ""Rarely"", ""2"": ""Several days"", ""3"": ""More than half the days"", ""4"": ""Nearly every day""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_002__01,item,,,Has your child gotten easily distracted since the time he or she was in elementary school or earlier?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_003,item,,,"In the past two weeks, how often has your child had trouble staying in his or her seat at school or at home when your child was expected to stay seated?","{""0"": ""Not at all"", ""1"": ""Rarely"", ""2"": ""Several days"", ""3"": ""More than half the days"", ""4"": ""Nearly every day""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_003__01,item,,,Has your child had trouble staying in their seat since the time he or she was in elementary school or earlier?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_004,item,,,"In the past two weeks, how often has your child gotten in trouble, or done something he or she could have gotten in trouble for because your child was impulsive and acted before he or she thought?","{""0"": ""Not at all"", ""1"": ""Rarely"", ""2"": ""Several days"", ""3"": ""More than half the days"", ""4"": ""Nearly every day""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_004__01,item,,,Has your child been the type of kid who acts before he or she thinks since the time your child was in elementary school or earlier?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_005a,item,,,You said that your child had a time when he/she had a lot of trouble keeping focused and paying attention. How old was your child when this first began?,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_005b,item,,,You said that your child had a time when he/she was often easily distracted. How old was your child when this first began?,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_005c,item,,,You said that your child had a time when he/she often had trouble staying seated. How old was your child when this first began?,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_005d,item,,,You said that your child had a time when he/she was impulsive and often acted before he/she thought. How old was your child when the first of these problems began?,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_005e,item,,,You said that your child had a time when he/she had a lot of trouble keeping focused and paying attention; and was often easily distracted. How old was your child when the first of these problems began?,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_005f,item,,,You said that your child had a time when he/she had a lot of trouble keeping focused and paying attention; and often had trouble staying seated. How old was your child when the first of these problems began?,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_005g,item,,,You said that your child had a time when he/she had a lot of trouble keeping focused and paying attention; and was impulsive and often acted before he/she thought. How old was your child when the first of these problems began?,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_005h,item,,,You said that your child had a time when he/she was often easily distracted; and often had trouble staying seated. How old was your child when the first of these problems began?,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_005i,item,,,You said that your child had a time when he/she was often easily distracted; and was impulsive and often acted before he/she thought. How old was your child when the first of these problems began?,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_005j,item,,,You said that your child had a time when he/she often had trouble staying seated; was impulsive and often acted before he/she thought. How old was your child when the first of these problems began?,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_005k,item,,,You said that your child had a time when he/she had a lot of trouble keeping focused and paying attention; was often easily distracted; and often had trouble staying seated. How old was your child when the first of these problems began?,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_005l,item,,,You said that your child had a time when he/she had a lot of trouble keeping focused and paying attention; was often easily distracted; and was impulsive and often acted before he/she thought. How old was your child when the first of these ,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_005m,item,,,You said that your child had a time when he/she had a lot of trouble keeping focused and paying attention; often had trouble staying seated; and was impulsive and often acted before he/she thought. How old was your child when the first of t,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_005n,item,,,You said that your child had a time when he/she was often easily distracted; often had trouble staying seated; was impulsive and often acted before he/she thought. How old was your child when this first of these problems began?,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__screen__pres_005o,item,,,You said that your child had a time when he/she had a lot of trouble keeping focused and paying attention; was often easily distracted; often had trouble staying seated; was impulsive and often acted before he/she thought. How old was your ,{},,False
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__avoid__task__past_sx,item,,,Symptom: Avoids tasks requiring attention - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__avoid__task__pres_sx,item,,,Symptom: Avoids tasks requiring attention - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__blurt__past_sx,item,,,Symptom: Blurts out answers - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__blurt__pres_sx,item,,,Symptom: Blurts out answers - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__distract__1schlyr__past_sx,item,,,Symptom: Easily distracted for more than 1 school year - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__distract__grdschl__pres_sx,item,,,Symptom: Easily distracted since elementary school - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__fidget__past_sx,item,,,Symptom: Fidgets - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__fidget__pres_sx,item,,,Symptom: Fidgets - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__flwinstr__past_sx,item,,,Symptom: Difficulty following instructions - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__flwinstr__pres_sx,item,,,Symptom: Difficulty following instructions - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__adhd,parent,adhd,mh_p_ksads__adhd__forget__past_sx,item,,,Symptom: Forgetful in daily activities - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
